/*
Быстрая регенерация (Clotter)	+15% сопротивления кровотечению
Твёрдая голова (Hard Noggin)	+15% сопротивления оглушению
Густая Кровь (Thick Blooded)	+10% сопротивления отравлению
Неубиваемый (Unyielding)	+10% сопротивления смертельному удару
Мощный (Robust)	+15% сопротивления болезням
Стойкий (Steady)	+10% сопротивления стрессу
Устойчивый (Resilient)	+10% восстановления стресса
Улучшенный баланс (Improved Balance)	+15% сопротивления перемещению
Твёрдая кожа (Hard Skinned)	+10% защиты
Крепкий (Tough)	+10% максимального здоровья
Уклончивый (Evasive)	+5 уклонения
Смертельный (Deadly)	+2% критической атаки
Орлиный глаз (Eagle Eye)	+5% критической атаки для дальнего боя
Точный удар (Precision Striker)	+5% критической атаки для ближнего боя
Быстрые рефлексы (Quick Reflexes)	+2 скорости
Наготове (Quickdraw)	+4 скорости на первый раунд сражения
Начеку (On Guard)	+4 скорости и +5 уклонения на первый раунд сражения
Меткий (Unerring)	+10% урона для дальнего боя
Отбивающий (Slugger)	+10% урона для ближнего боя
Естественный глаз (Natural Eye)	+5 Точности для дальнего боя
Естественный взмах (Natural Swing)	+5 Точности для ближнего боя
Отходчивость (Back Tracker)	Не получает стресса при отступлении
Обречённость (Fated)	Шанс попасть по цели, если промахивается
Озаренный (illuminated)	+2 скорости и +5 уклонения
Связанные со здоровьем или стрессомПравить
Название	Описание
Голодание при стрессе (Stress Faster)	Если стресс больше или равен 50, -100% потребления пищи
Второе дыхание (Second Wind)	Если здоровье ниже 50%, +10% урона
Последний вздох (Last Gasp)	Если здоровье ниже 50%, +1 скорости
Удар суставов (Clutch Hitter)	Если здоровье ниже 50%, +3% шанса критической атаки
Связанные с уровнем светаПравить
Название	Описание
Воин света (Warrior of Light)	Если уровень света выше 75, +10% урона
Крадущийся (Lurker)	Если уровень света ниже 25, +10% урона
Жаворонок (Early Riser)	Если уровень света выше 75, +2 скорости
Фотомания (Photomania)	Если уровень света выше 75, +20% сопротивления стрессу
Сова (Owl)	Если уровень света ниже 25, +2 скорости

Связанные с типом противника

Ненависть к зверям (Hatred of Beast)	При сражении со зверем: +15% нанесённого урона и -15% получаемого стресса
Ненависть к мистике (Hatred of Eldritch)	При сражении с мистикой: +15% нанесённого урона и -15% получаемого стресса
Ненависть к людям (Hatred of Mankind)	При сражении с человеком: +15% нанесённого урона и-15% получаемого стресса
Ненависть к нечисти (Hatred of Unholy)	При сражении с нечистью: +15% нанесённого урона и -15% получаемого стресса
Убийца зверей (Slayer of Beast)	При сражении со зверем: +10 точности и +3% шанса критической атаки
Убийца мистики (Slayer of Eldritch)	При сражении с мистикой: +10 точности и +3% шанса критической атаки
Убийца человечества (Slayer of Mankind)	При сражении с человеком: +10 точности и +3% шанса критической атаки
Убийца нечисти (Slayer of Unholy)	При сражении с нечистью: +10 точности и +3% шанса критической атаки
Связанные с зонамиПравить
Название	Описание
Авантюрист Руин (Ruins Adventurer)	-20% урона от стресса в Руинах
Исследователь Руин (Ruins Explorer)	+20% шанса разведки в Руинах
Расхититель Руин (Ruins Scrounger)	+10% шанса разведки в Руинах
Тактик Руин (Ruins Tactician)	+15% урона в Руинах
Авантюрист Заповедника (Warrens Adventurer)	-20% урон от стресса в Заповеднике
Исследователь Заповедника (Warrens Explorer)	+20% шанса разведки в Заповеднике
